Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,Jul 20 2020,20,141
North Carolina,Jul 19 2020,17,140
North Carolina,Jul 18 2020,23,139
North Carolina,Jul 17 2020,22,138
North Carolina,Jul 16 2020,16,137
North Carolina,Jul 15 2020,25,136
North Carolina,Jul 14 2020,13,135
North Carolina,Jul 13 2020,27,134
North Carolina,Jul 12 2020,17,133
North Carolina,Jul 11 2020,24,132
North Carolina,Jul 10 2020,12,131
North Carolina,Jul  9 2020,17,130
North Carolina,Jul  8 2020,14,129
North Carolina,Jul  7 2020,19,128
North Carolina,Jul  6 2020,19,127
North Carolina,Jul  5 2020,17,126
North Carolina,Jul  4 2020,12,125
North Carolina,Jul  3 2020,12,124
North Carolina,Jul  2 2020,11,123
North Carolina,Jul  1 2020,22,122
North Carolina,Jun 30 2020,17,121
North Carolina,Jun 29 2020,12,120
North Carolina,Jun 28 2020,12,119
North Carolina,Jun 27 2020,15,118
North Carolina,Jun 26 2020,17,117
North Carolina,Jun 25 2020,12,116
North Carolina,Jun 24 2020,18,115
North Carolina,Jun 23 2020,9,114
North Carolina,Jun 22 2020,20,113
North Carolina,Jun 21 2020,12,112
North Carolina,Jun 20 2020,17,111
North Carolina,Jun 19 2020,16,110
North Carolina,Jun 18 2020,13,109
North Carolina,Jun 17 2020,9,108
North Carolina,Jun 16 2020,8,107
North Carolina,Jun 15 2020,23,106
North Carolina,Jun 14 2020,21,105
North Carolina,Jun 13 2020,12,104
North Carolina,Jun 12 2020,12,103
North Carolina,Jun 11 2020,12,102
North Carolina,Jun 10 2020,13,101
North Carolina,Jun  9 2020,21,100
North Carolina,Jun  8 2020,13,99
North Carolina,Jun  7 2020,17,98
North Carolina,Jun  6 2020,21,97
North Carolina,Jun  5 2020,10,96
North Carolina,Jun  4 2020,19,95
North Carolina,Jun  3 2020,21,94
North Carolina,Jun  2 2020,17,93
North Carolina,Jun  1 2020,21,92
North Carolina,May 31 2020,19,91
North Carolina,May 30 2020,20,90
North Carolina,May 29 2020,19,89
North Carolina,May 28 2020,25,88
North Carolina,May 27 2020,28,87
North Carolina,May 26 2020,32,86
North Carolina,May 25 2020,19,85
